Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
OTTAWA GATINEAU A,QUEBEC,7032685,53001,,YND,45.52,-75.56,453118000,-753349000,64.3,2014,2019,2014.0,2019.0,2018.0,2019.0,,,16.41161473114018,367.06916784331406,2889.4275344776984
HIGH FALLS,QUEBEC,7033120,5592,,,45.85,-75.65,455100000,-753900000,189.0,1933,1972,,,1933.0,1972.0,1933.0,1972.0,49.0585727795082,382.2015188518994,2867.0399643034875
HIGH FALLS,QUEBEC,7033121,27717,71391.0,XHF,45.84,-75.65,455022000,-753853000,194.6,1999,2019,1999.0,2019.0,1999.0,2019.0,,,47.95071522364913,381.5283384235748,2867.5222102715734
LOCHABER,QUEBEC,7034310,43188,,MHB,45.64,-75.21,453822020,-751228000,105.0,2004,2005,2004.0,2005.0,,,,,46.03079378775307,397.3183837579001,2908.03797473176
LUCERNE,QUEBEC,7034350,5603,,,45.53,-75.97,453200000,-755800000,100.6,1911,1945,,,1911.0,1945.0,1911.0,1945.0,24.97334979877679,341.03485747535836,2860.2198289102957
LUSKVILLE,QUEBEC,7034365,5604,,,45.53,-76.05,453200000,-760300000,68.9,1980,2018,,,1980.0,2018.0,1981.0,2018.0,30.446337500159984,335.9607069726916,2854.616071225554
MASSON,QUEBEC,7034635,5610,,,45.53,-75.42,453200000,-752500000,54.9,1963,1979,,,1963.0,1979.0,1963.0,1979.0,25.63789236898068,376.96383355115887,2898.7382874491777
PERKINS,QUEBEC,7036000,5622,,,45.6,-75.62,453600000,-753700000,152.4,1911,1991,,,1911.0,1991.0,1911.0,1991.0,22.02299948195224,367.9588535338768,2881.2938716835456
THURSO,QUEBEC,7038500,5637,,,45.6,-75.27,453600000,-751600000,54.9,1958,1985,,,1958.0,1985.0,1958.0,1985.0,39.68894784939142,391.0107156599202,2905.798368924074
WAKEFIELD,QUEBEC,7038835,5639,,,45.6,-75.9,453600000,-755400000,152.4,1963,1993,,,1963.0,1993.0,1963.0,1993.0,26.27217201415652,350.00795091452505,2861.686156200062
WILSONS CORNERS,QUEBEC,7038915,5641,,,45.72,-75.7,454300000,-754200000,175.3,1945,1962,,,1945.0,1962.0,1945.0,1962.0,34.454273865698404,370.45523505671724,2869.834107518132
