Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
TORONTO LLOYDMINSTER,ONTARIO,6158734,5098,,,43.8,-79.4,434800000,-792400000,167.6,1968,1969,,,1968.0,1969.0,1968.0,1969.0,343.8740862589498,11.22689961801771,2709.704440440038
TORONTO MALVERN,ONTARIO,6158738,5099,,,43.8,-79.23,434800000,-791400000,160.0,1974,1993,,,1974.0,1993.0,1974.0,1993.0,332.42718291567047,18.911121969144535,2721.6021559952246
TORONTO MET RES STN,ONTARIO,6158740,5100,,,43.8,-79.55,434800000,-793300000,193.5,1965,1988,,,1965.0,1988.0,1965.0,1988.0,354.0936188027647,15.266939056311758,2699.208066193348
TORONTO METRO ZOO,ONTARIO,6158741,5102,,,43.82,-79.18,434900000,-791100000,143.3,1976,1993,,,1976.0,1993.0,1976.0,1993.0,327.84789486148907,23.479674665302717,2724.0059594839126
TORONTO MIMICO,ONTARIO,6158745,5103,,,43.62,-79.48,433700000,-792900000,76.2,1958,1960,,,1958.0,1960.0,1958.0,1960.0,360.3429510535514,10.12066458060133,2714.0357316460954
TORONTO NASHDENE,ONTARIO,6158748,5104,,,43.82,-79.25,434900000,-791500000,177.4,1983,1987,,,1983.0,1987.0,1983.0,1987.0,332.5398817617198,19.10966552279093,2719.106228670954
TORONTO NEW INT'L A,ONTARIO,6158749,5105,,,43.95,-79.13,435700000,-790800000,262.7,1973,1976,1973.0,1976.0,1973.0,1976.0,1973.0,1976.0,316.623890774779,36.27350931025887,2720.4150419081298
TORONTO EAST YORK DUSTAN,ONTARIO,6158751,45967,,,43.7,-79.34,434148030,-792019014,125.0,2007,2015,,,2007.0,2015.0,,,345.9987398537376,6.448737714221814,2719.404621160857
TORONTO NEWTON,ONTARIO,6158752,5106,,,43.8,-79.42,434800000,-792500000,198.1,1971,1975,,,1971.0,1975.0,1971.0,1975.0,345.23046909003085,11.110736190560711,2708.304835194919
TORONTO NEWTONBROOK,ONTARIO,6158753,5107,,,43.78,-79.42,434700000,-792500000,182.9,1953,1955,,,1953.0,1955.0,1954.0,1955.0,346.42966524173323,8.888573339011707,2709.4027675051784
TORONTO NORTHCLIFFE,ONTARIO,6158762,5108,,,43.68,-79.45,434100000,-792700000,167.6,1957,1981,,,1957.0,1981.0,1957.0,1981.0,354.574409071581,3.2844847779703397,2712.8129940199424
TOR OLD BURNHAMTHORPE,ONTARIO,6158763,5109,,,43.65,-79.58,433900000,-793500000,144.8,1973,1995,,,1973.0,1995.0,1973.0,1995.0,365.1348389280951,14.047929688623316,2705.3790119111723
TORONTO OLD WESTON RD,ONTARIO,6158764,5110,,,43.65,-79.47,433900000,-792800000,121.9,1966,1990,,,1966.0,1990.0,1966.0,1990.0,357.78490803241704,6.864358239762577,2713.0730808583858
TORONTO PINE RIDGE,ONTARIO,6158765,5111,,,43.72,-79.23,434300000,-791400000,173.7,1958,1965,,,1958.0,1965.0,1958.0,1965.0,337.45086343637723,15.473592545935933,2725.9991267063006
TORONTO REXDALE,ONTARIO,6158768,5112,,,43.73,-79.57,434400000,-793400000,152.4,1957,1966,,,1957.0,1966.0,1957.0,1966.0,359.5961451224019,12.539491032823655,2701.658858869014
TORONTO SANCTBURY,ONTARIO,6158771,5113,,,43.67,-79.58,434000000,-793500000,149.4,1970,1979,,,1970.0,1979.0,1970.0,1979.0,363.9056329372086,13.324333687889677,2704.2721508745085
TORONTO SCARBOROUGH,ONTARIO,6158776,5114,,,43.72,-79.23,434300000,-791400000,156.7,1961,1971,,,1961.0,1971.0,1961.0,1971.0,337.45086343637723,15.473592545935933,2725.9991267063006
TORONTO SCARLETT RD,ONTARIO,6158777,5115,,,43.67,-79.5,434000000,-793000000,121.9,1951,1962,,,1951.0,1962.0,1951.0,1962.0,358.5375433923618,7.260651277477624,2709.868037189026
TORONTO STUART AVENUE,ONTARIO,6158778,5116,,,43.77,-79.43,434600000,-792600000,190.5,1959,1963,,,1959.0,1963.0,1959.0,1963.0,347.7087876509875,7.819108287575796,2709.2524745336495
TORONTO SUNNYBROOK,ONTARIO,6158779,5117,,,43.72,-79.38,434300000,-792300000,157.0,1962,1993,,,1962.0,1993.0,1962.0,1993.0,347.4106543428103,3.9154779799662767,2715.5029978024168
TORONTO VICTORIA,ONTARIO,6158780,5118,,,43.72,-79.32,434300000,-791900000,121.9,1957,1961,,,1957.0,1961.0,1957.0,1961.0,343.41184589524266,8.360306822692008,2719.701263049085
TORONTO WEST DEANE PARK,ONTARIO,6158783,5119,,,43.67,-79.57,434000000,-793400000,140.2,1959,1974,,,1959.0,1974.0,1959.0,1974.0,363.23288267439676,12.545298405304019,2704.971610232329
TORONTO WEST HILL,ONTARIO,6158784,5120,,,43.77,-79.17,434600000,-791000000,97.5,1951,1986,,,1951.0,1986.0,1951.0,1986.0,330.3097284345042,21.590087571796428,2727.4479772170826
TORONTO WESTWOOD,ONTARIO,6158792,5121,,,43.72,-79.63,434300000,-793800000,167.6,1967,1972,,,1967.0,1972.0,1967.0,1972.0,364.2703426697479,17.070369404024312,2698.0129931225065
TOR SCARBOROUGH COLLEGE,ONTARIO,61587P6,5091,,,43.78,-79.18,434700000,-791100000,129.5,1972,1980,,,1972.0,1980.0,1972.0,1980.0,330.3421161358842,21.27873544415192,2726.1990051685593
TORONTO SENECA HILL,ONTARIO,61587PG,5088,,,43.78,-79.35,434700000,-792100000,189.0,1973,1987,,,1973.0,1987.0,1973.0,1987.0,341.70606412869415,10.526339805792198,2714.301274047944
TORONTO SHERBOURNE,ONTARIO,61587PP,5089,,,43.65,-79.37,433900000,-792200000,76.2,1966,1979,,,1966.0,1979.0,1966.0,1979.0,351.1583302556333,6.864358239762577,2720.0684762398346
TORONTO TABER PARK,ONTARIO,61587PR,5090,,,43.75,-79.25,434500000,-791500000,,1965,1965,,,1965.0,1965.0,,,336.8757245988246,14.781524246368942,2722.948190593395
TORONTO WEXFORD,ONTARIO,6158815,5122,,,43.75,-79.3,434500000,-791800000,173.7,1953,1958,,,1953.0,1958.0,1953.0,1958.0,340.2042040057362,11.151369673832559,2719.449131559115
TORONTO WILLOWDALE,ONTARIO,6158830,5123,,,43.77,-79.42,434600000,-792500000,190.5,1953,1970,,,1953.0,1970.0,1953.0,1970.0,347.03304002909357,7.777494840880481,2709.9522172923453
TORONTO WILSON HEIGHTS,ONTARIO,6158846,5124,,,43.73,-79.43,434400000,-792600000,190.5,1953,1973,,,1953.0,1973.0,1953.0,1973.0,350.14290496314175,3.4292397605798395,2711.453560804217
TRAFALGAR MARINE,ONTARIO,6158860,5125,,,43.5,-79.73,433000000,-794400000,175.3,1959,1971,,,1959.0,1971.0,1959.0,1971.0,384.53790820936723,33.47063355707018,2703.2352676615114
TORONTO BRYNSTON,ONTARIO,6158D1B,5039,,,43.67,-79.55,434000000,-793300000,149.4,1974,1977,,,1974.0,1977.0,1974.0,1977.0,361.88885889975114,10.999020207423968,2706.370551695682
TORONTO CASTLEMERE,ONTARIO,6158M1K,5040,,,43.78,-79.32,434700000,-791900000,184.4,1971,1980,,,1971.0,1980.0,1971.0,1980.0,339.6893597469119,11.995780923081659,2716.400735097359
UNIONVILLE,ONTARIO,6159058,5137,,,43.93,-79.33,435600000,-792000000,236.2,1960,1974,,,1960.0,1974.0,1960.0,1974.0,331.47536811609973,26.561030389982996,2707.5000811128048
UNIONVILLE OWRC,ONTARIO,6159060,5138,,,43.87,-79.3,435200000,-791800000,173.7,1970,1970,,,1970.0,1970.0,1970.0,1970.0,332.91540746818646,21.214965591233234,2712.8716134234996
UXBRIDGE,ONTARIO,6159122,5139,,,44.08,-79.13,440500000,-790800000,270.1,1899,1950,,,1899.0,1950.0,1899.0,1923.0,309.2079266892981,48.225433188034884,2713.3787405248386
UXBRIDGE WEST,ONTARIO,6159123,50637,71932.0,TUX,44.1,-79.16,440554000,-790949020,325.0,2012,2019,2012.0,2019.0,2012.0,2019.0,,,310.2061989056862,49.10810669490797,2710.1999286917244
VICTORIA,ONTARIO,6159138,5144,,,43.77,-79.88,434600000,-795300000,288.6,1952,1954,,,1952.0,1954.0,1952.0,1954.0,378.5907687359358,37.86594827298433,2677.771469072703
WEXFORD,ONTARIO,6159459,5146,,,43.73,-79.28,434400000,-791700000,169.2,1912,1929,,,1912.0,1929.0,1912.0,1929.0,340.12585303333987,11.764543576831175,2721.949421577928
WILCOX LAKE,ONTARIO,6159510,5147,,,43.95,-79.43,435700000,-792600000,289.6,1960,1979,,,1960.0,1979.0,1960.0,1979.0,337.2622820067302,27.788851702808557,2699.4115747673504
WOODBRIDGE,ONTARIO,6159575,5148,,,43.78,-79.6,434700000,-793600000,164.0,1948,2005,,,1948.0,2005.0,1948.0,2005.0,358.68539051361813,17.007552402534973,2696.8081619714567
VANDORF,ONTARIO,6159AC0,5131,,,44.02,-79.35,440100000,-792100000,320.0,1966,1966,,,1966.0,1966.0,1966.0,1966.0,327.8325065536491,35.99765065513048,2701.214228809339
MILTON SOUTH,ONTARIO,615EAQG,6909,,,43.45,-79.83,432700000,-795000000,175.0,1993,1997,,,1993.0,1997.0,1993.0,1997.0,394.3520590439666,43.22410004784627,2699.0449183033966
TORONTO TORBARRIE,ONTARIO,615H779,4842,,,43.73,-79.52,434400000,-793100000,139.9,1983,1984,,,1983.0,1984.0,1983.0,1984.0,356.20898593387017,8.72102534160904,2705.156804416967
TORONTO YORK MILLS,ONTARIO,615HHDF,4840,,,43.75,-79.38,434500000,-792300000,153.3,1973,1987,,,1973.0,1987.0,1973.0,1987.0,345.5578857628074,6.422597329245848,2713.8509892910474
TORONTO BUTTONVILLE A,ONTARIO,615HMAK,4841,71639.0,YKZ,43.86,-79.37,435144000,-792212000,198.1,1986,2015,1986.0,2015.0,1986.0,2015.0,1986.0,2015.0,338.27509079402626,18.22725326407225,2708.518335793972
BRUCES MILL,ONTARIO,615J02G,4843,,,44.0,-79.33,440000000,-792000000,358.1,1968,1974,,,1968.0,1974.0,1969.0,1974.0,327.5362329810907,34.10930675044098,2703.697977221652
NEWMARKET 3,ONTARIO,615N002,27227,,,44.05,-79.43,440300000,-792600000,240.0,1996,2002,,,1996.0,2002.0,1996.0,2002.0,331.83712922527553,38.89673554156564,2693.989950547594
NEWMARKET 2,ONTARIO,615N619,4845,,,44.03,-79.4,440200000,-792400000,292.0,1988,1988,,,1988.0,1988.0,1988.0,1988.0,330.79247852798943,36.701401762455916,2697.172118023756
OAKVILLE SOUTHEAST WPCP,ONTARIO,615N745,4846,,,43.48,-79.63,432900000,-793800000,86.9,1970,2001,,,1970.0,2001.0,1970.0,2001.0,379.2250256693704,29.74992800120088,2711.3436776286126
TORONTO NORTH YORK,ONTARIO,615S001,26953,,,43.78,-79.47,434648072,-792804038,187.0,1994,2018,,,1994.0,2018.0,1994.0,2006.0,349.81861118630826,9.758572819182294,2705.9040391447334
BOLTON NORTH,ONTARIO,615S004,27083,,,43.92,-79.75,435500000,-794500000,261.0,1995,2001,,,1995.0,2001.0,1995.0,2001.0,361.2911320686268,36.090537364369254,2678.648356348646
